rank,concept,axis_coverage_count,axis_membership,modeling_to_join_centrality,sql_writing_order_centrality,sql_execution_order_centrality,oracle_sqlserver_centrality,min_axis_centrality,geometric_mean_axis_centrality,concept_betweenness,concept_degree_recomputed,evidence_question_count,evidence_proposition_count,axis_confidence,axis_review_required
1,NULL,4,modeling_to_join|sql_writing_order|sql_execution_order|oracle_sqlserver,0.1364,0.2424,0.3846,0.2500,0.1364,0.2374,0.1986,10,16,46,medium,False
2,ORDER BY,3,sql_writing_order|sql_execution_order|oracle_sqlserver,0.0000,0.0606,0.1538,0.2500,0.0000,0.0000,0.0457,3,3,8,high,False
3,JOIN,3,modeling_to_join|sql_writing_order|sql_execution_order,0.1364,0.0606,0.1538,0.0000,0.0000,0.0000,0.0402,5,2,5,high,True
4,DDL,3,modeling_to_join|sql_writing_order|oracle_sqlserver,0.0000,0.3030,0.0000,0.5000,0.0000,0.0000,0.0181,10,4,5,medium,False
5,집계 함수,2,sql_writing_order|sql_execution_order,0.0000,0.1515,0.3846,0.0000,0.0000,0.0000,0.0329,5,8,22,high,False
6,WHERE,2,sql_writing_order|sql_execution_order,0.0000,0.1515,0.3077,0.0000,0.0000,0.0000,0.0310,5,3,9,high,False
7,GROUP BY,2,sql_writing_order|sql_execution_order,0.0000,0.1212,0.3077,0.0000,0.0000,0.0000,0.0232,4,4,7,high,False
8,OUTER JOIN,2,sql_writing_order|sql_execution_order,0.0000,0.0909,0.2308,0.0000,0.0000,0.0000,0.0142,3,2,8,high,True
9,제약조건,2,modeling_to_join|sql_writing_order,0.2273,0.0303,0.0000,0.0000,0.0000,0.0000,0.0103,5,1,2,medium,False
10,COUNT,2,sql_writing_order|sql_execution_order,0.0000,0.0909,0.2308,0.0000,0.0000,0.0000,0.0029,3,3,9,high,False
11,윈도우 함수,2,sql_writing_order|sql_execution_order,0.0000,0.0303,0.0769,0.0000,0.0000,0.0000,0.0000,1,3,12,high,True
12,HAVING,2,sql_writing_order|sql_execution_order,0.0000,0.0909,0.2308,0.0000,0.0000,0.0000,0.0000,3,3,9,high,False
13,그룹함수 확장,2,sql_writing_order|sql_execution_order,0.0000,0.0303,0.0769,0.0000,0.0000,0.0000,0.0000,1,2,8,medium,False
14,서브쿼리,2,sql_writing_order|sql_execution_order,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,8,high,False
15,ALTER,2,sql_writing_order|oracle_sqlserver,0.0000,0.0303,0.0000,0.2500,0.0000,0.0000,0.0000,1,1,4,high,False
16,AUTO COMMIT,2,sql_writing_order|oracle_sqlserver,0.0000,0.0909,0.0000,0.2500,0.0000,0.0000,0.0000,3,1,4,high,False
17,CROSS JOIN,2,sql_writing_order|sql_execution_order,0.0000,0.0303,0.0769,0.0000,0.0000,0.0000,0.0000,1,1,4,high,False
18,집합 연산자,2,sql_writing_order|sql_execution_order,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,4,high,True
19,PK,1,modeling_to_join,0.3636,0.0000,0.0000,0.0000,0.0000,0.0000,0.1568,8,2,2,high,False
20,ERD,1,modeling_to_join,0.4091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0808,9,2,8,high,False
21,식별자,1,modeling_to_join,0.3636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0760,8,2,3,high,False
22,FK,1,modeling_to_join,0.3636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0366,8,2,5,high,False
23,데이터 모델링 3단계,1,modeling_to_join,0.2273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0297,5,1,4,high,False
24,엔터티,1,modeling_to_join,0.1818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0244,4,2,0,high,False
25,속성,1,modeling_to_join,0.1818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0117,4,0,0,high,False
26,개체 무결성,1,modeling_to_join,0.2273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0103,5,1,4,high,False
27,관계,1,modeling_to_join,0.2273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,5,0,0,high,False
28,Transaction,1,sql_writing_order,0.0000,0.1818,0.0000,0.0000,0.0000,0.0000,0.0094,7,3,3,medium,True
29,ROLLBACK,1,sql_writing_order,0.0000,0.2121,0.0000,0.0000,0.0000,0.0000,0.0062,7,3,5,high,True
30,관계 차수,1,modeling_to_join,0.1364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0056,3,1,1,high,False
31,DML,1,sql_writing_order,0.0000,0.1212,0.0000,0.0000,0.0000,0.0000,0.0016,4,1,1,high,False
32,TCL,1,sql_writing_order,0.0000,0.1818,0.0000,0.0000,0.0000,0.0000,0.0016,6,1,1,high,False
33,정규화,1,modeling_to_join,0.1364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0016,3,5,14,high,False
34,DELETE,1,sql_writing_order,0.0000,0.1212,0.0000,0.0000,0.0000,0.0000,0.0010,4,2,5,high,False
35,비식별 관계,1,modeling_to_join,0.1364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,3,1,1,high,False
36,식별 관계,1,modeling_to_join,0.1364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,3,1,1,high,False
37,COMMIT,1,sql_writing_order,0.0000,0.1515,0.0000,0.0000,0.0000,0.0000,0.0006,5,1,0,medium,True
38,DCL,1,sql_writing_order,0.0000,0.1212,0.0000,0.0000,0.0000,0.0000,0.0005,4,3,12,high,True
39,TRUNCATE,1,sql_writing_order,0.0000,0.1212,0.0000,0.0000,0.0000,0.0000,0.0005,4,2,8,high,False
40,DROP,1,sql_writing_order,0.0000,0.1212,0.0000,0.0000,0.0000,0.0000,0.0005,4,2,4,high,True
41,정규표현식 함수,1,sql_writing_order,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,3,11,high,True
42,함수적 종속,1,modeling_to_join,0.0909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,3,11,high,False
43,문자형 함수,1,sql_writing_order,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,5,high,True
44,PIVOT·UNPIVOT,1,sql_writing_order,0.0000,0.0303,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,4,low,True
45,VIEW,1,sql_writing_order,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,4,medium,False
46,계층형 질의,1,sql_writing_order,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,4,high,True
47,데이터 모델링 관점,1,modeling_to_join,0.0455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,4,medium,False
48,엔터티 분류,1,modeling_to_join,0.0455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,4,high,False
49,자료형,1,modeling_to_join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,4,medium,True
50,참조 무결성,1,modeling_to_join,0.1364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,2,2,high,False
51,관계 선택성,1,modeling_to_join,0.0909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,1,2,high,False
52,IN·NOT IN,1,sql_writing_order,0.0000,0.0606,0.0000,0.0000,0.0000,0.0000,0.0000,2,1,1,medium,True
53,숫자형 함수,1,sql_writing_order,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,1,high,False
54,ACID,0,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,4,low,True
